source,target,type,explanation,status,sourceUrl,activeFrom,activeTo
suno,suno-v5,DEVELOPS,Suno develops the Suno v5 model or model family.,confirmed,https://suno.com/,,
allen-institute-for-ai,olmo-2,DEVELOPS,Allen Institute for AI develops the OLMo 2 model or model family.,confirmed,https://allenai.org/olmo,,
allen-institute-for-ai,olmoe,DEVELOPS,Allen Institute for AI develops the OLMoE model or model family.,confirmed,https://allenai.org/olmo,,
technology-innovation-institute,falcon-3,DEVELOPS,Technology Innovation Institute develops the Falcon 3 model or model family.,confirmed,https://falconllm.tii.ae/,,
ibm-granite,ibm-granite-4,DEVELOPS,IBM Granite develops the IBM Granite 4 model or model family.,confirmed,https://www.ibm.com/granite,,
databricks,dbrx,DEVELOPS,Databricks develops the DBRX model or model family.,confirmed,https://www.databricks.com/research/mosaic,,
cerebras,cerebras-gpt,DEVELOPS,Cerebras develops the Cerebras-GPT model or model family.,confirmed,https://www.cerebras.ai/,,
evolutionaryscale,esm3,DEVELOPS,EvolutionaryScale develops the ESM3 model or model family.,confirmed,https://www.evolutionaryscale.ai/,,
luma-ai,luma-ray,DEVELOPS,Luma AI develops the Luma Ray model or model family.,confirmed,https://lumalabs.ai/,,
pika,pika-2-2,DEVELOPS,Pika develops the Pika 2.2 model or model family.,confirmed,https://pika.art/,,
ideogram,ideogram-3-0,DEVELOPS,Ideogram develops the Ideogram 3.0 model or model family.,confirmed,https://ideogram.ai/,,
arc-institute,evo-2,DEVELOPS,Arc Institute develops the Evo 2 model or model family.,confirmed,https://arcinstitute.org/,,
elevenlabs,eleven-v3,DEVELOPS,ElevenLabs develops the Eleven v3 model or model family.,confirmed,https://elevenlabs.io/,,
salesforce,progen3,DEVELOPS,Salesforce Einstein develops the ProGen3 model or model family.,confirmed,https://www.salesforce.com/ai-research/,,
aleph-alpha,aleph-alpha-luminous,DEVELOPS,Aleph Alpha develops the Aleph Alpha Luminous model or model family.,confirmed,https://www.aleph-alpha.com/,,
nvidia,bionemo,DEVELOPS,NVIDIA develops the BioNeMo model or model family.,confirmed,https://www.nvidia.com/en-us/clara/bionemo/,,
udio,udio-2,DEVELOPS,Udio develops the Udio 2 model or model family.,confirmed,https://www.udio.com/,,
ai21,ai21-jamba,DEVELOPS,AI21 Labs develops the AI21 Jamba model or model family.,confirmed,https://www.ai21.com/jamba,,
xiaomi-mimo,mimo-v2-5-pro,DEVELOPS,Xiaomi MiMo Team develops the MiMo-V2.5 Pro model or model family.,confirmed,https://github.com/XiaomiMiMo,,
stepfun,step-3-5-flash,DEVELOPS,StepFun develops the Step-3.5 Flash model or model family.,confirmed,https://github.com/stepfun-ai/Step-3.5-Flash,,
shanghai-ai-laboratory,intern-s2-preview,DEVELOPS,Shanghai AI Laboratory develops the Intern-S2 Preview model or model family.,confirmed,https://github.com/InternLM/Intern-S1,,
baichuan-ai,baichuan-m4,DEVELOPS,Baichuan AI develops the Baichuan-M4 model or model family.,confirmed,https://arxiv.org/abs/2606.08982,,
kuaishou-kling,kling-3,DEVELOPS,Kuaishou Kling develops the Kling 3.0 model or model family.,confirmed,https://ir.kuaishou.com/news-releases/news-release-details/kling-ai-launches-30-model-ushering-era-where-everyone-can-be,,
shengshu-vidu,vidu-q3,DEVELOPS,ShengShu AI / Vidu develops the Vidu Q3 model or model family.,confirmed,https://platform.vidu.com/docs/model-map,,
alibaba-wan,wan-2-7,DEVELOPS,Alibaba Wan develops the Wan 2.7 model or model family.,confirmed,https://www.alibabacloud.com/help/en/model-studio/newly-released-models,,
meituan-longcat,longcat-2,DEVELOPS,Meituan LongCat develops the LongCat 2.0 model or model family.,confirmed,https://tech.meituan.com/2026/07/12/LongCat-2.0-Open-source.html,,
sensetime,sensenova-6-7,DEVELOPS,SenseTime develops the SenseNova 6.7 Flash-Lite model or model family.,confirmed,https://www.sensetime.com/en/research/,,
step-3-5-flash,vllm,RUNS_ON,The official vLLM recipes repository provides production serving configurations for Step-3.5 Flash on supported NVIDIA GPUs.,confirmed,https://github.com/vllm-project/recipes/blob/main/StepFun/Step-3.5-Flash.md,2026,
intern-s2-preview,lmdeploy,RUNS_ON,The official Intern model repository provides LMDeploy deployment guides and model artifacts for Intern-S2 Preview.,confirmed,https://github.com/InternLM/Intern-S1,2026,
baichuan-m4,baichuan-ai,RUNS_ON,Baichuan-M4 is delivered as Baichuan Intelligence’s clinical-grade medical agent system; public self-hosted runtime details are not disclosed.,confirmed,https://arxiv.org/abs/2606.08982,2026,
kling-3,kuaishou-kling,RUNS_ON,Kuaishou delivers Kling 3.0 through the Kling AI managed product and does not publicly disclose its underlying serving hardware.,confirmed,https://ir.kuaishou.com/news-releases/news-release-details/kling-ai-launches-30-model-ushering-era-where-everyone-can-be,2026,
vidu-q3,shengshu-vidu,RUNS_ON,ShengShu exposes Vidu Q3 through the Vidu application and managed API platform.,confirmed,https://platform.vidu.com/docs/model-map,2026,
wan-2-7,alibaba-cloud,RUNS_ON,Alibaba Cloud Model Studio lists Wan 2.7 image and video generation endpoints as managed model services.,confirmed,https://www.alibabacloud.com/help/en/model-studio/newly-released-models,2026,
longcat-2,sglang,RUNS_ON,Meituan’s official LongCat 2.0 repository provides SGLang deployment paths for both GPU and domestic-NPU platforms.,confirmed,https://github.com/meituan-longcat/LongCat-2.0,2026,
sensenova-6-7,sensetime,RUNS_ON,SenseTime delivers SenseNova 6.7 Flash-Lite through its managed SenseNova model platform; lower-level serving hardware is not publicly disclosed.,confirmed,https://www.sensetime.com/en/research/,2026,
gpt-5-6-sol,vllm,RUNS_ON,GPT-5.6 Sol can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-fable-5,vllm,RUNS_ON,Claude Fable 5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-3-7-flash,vllm,RUNS_ON,Gemini 3.7 Flash can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
llama-4-scout,vllm,RUNS_ON,Llama 4 Scout can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
kimi-k3,vllm,RUNS_ON,Kimi K3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
mistral-medium-3-5,vllm,RUNS_ON,Mistral Medium 3.5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
flux-1,vllm,RUNS_ON,FLUX.1 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
olmo-2,vllm,RUNS_ON,OLMo 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-6-terra,vllm,RUNS_ON,GPT-5.6 Terra can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-opus-5,vllm,RUNS_ON,Claude Opus 5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-3-6-flash,vllm,RUNS_ON,Gemini 3.6 Flash can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
llama-4-maverick,vllm,RUNS_ON,Llama 4 Maverick can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
kimi-k2-7-code,vllm,RUNS_ON,Kimi K2.7 Code can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
mistral-small-4,vllm,RUNS_ON,Mistral Small 4 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
flux-2,vllm,RUNS_ON,FLUX.2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
olmoe,vllm,RUNS_ON,OLMoE can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-6-luna,vllm,RUNS_ON,GPT-5.6 Luna can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-sonnet-5,vllm,RUNS_ON,Claude Sonnet 5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-3-5-flash,vllm,RUNS_ON,Gemini 3.5 Flash can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
llama-guard-4,vllm,RUNS_ON,Llama Guard 4 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
kimi-k2-6,vllm,RUNS_ON,Kimi K2.6 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
mistral-large-3,vllm,RUNS_ON,Mistral Large 3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
stable-diffusion-3-5,vllm,RUNS_ON,Stable Diffusion 3.5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
falcon-3,vllm,RUNS_ON,Falcon 3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-5,vllm,RUNS_ON,GPT-5.5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-opus-4-8,vllm,RUNS_ON,Claude Opus 4.8 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-3-1-pro,vllm,RUNS_ON,Gemini 3.1 Pro can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
llama-3-3-70b,vllm,RUNS_ON,Llama 3.3 70B can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
deepseek-v4-pro,vllm,RUNS_ON,vLLM’s official supported-model table lists the DeepSeek V4 architecture and DeepSeek-V4-Pro for text generation.,confirmed,https://github.com/vllm-project/vllm/blob/main/docs/models/supported_models.md,2026,
devstral-2,vllm,RUNS_ON,Devstral 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
stable-audio,vllm,RUNS_ON,Stable Audio can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
ibm-granite-4,vllm,RUNS_ON,IBM Granite 4 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-3-codex,vllm,RUNS_ON,GPT-5.3-Codex can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-opus-4-7,vllm,RUNS_ON,Claude Opus 4.7 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
nano-banana-2,vllm,RUNS_ON,Nano Banana 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
meta-movie-gen,vllm,RUNS_ON,Meta Movie Gen can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
deepseek-v4-flash,vllm,RUNS_ON,vLLM’s official supported-model table lists DeepSeek-V4-Flash under its DeepSeek V4 implementation.,confirmed,https://github.com/vllm-project/vllm/blob/main/docs/models/supported_models.md,2026,
mistral-ocr-4,vllm,RUNS_ON,Mistral OCR 4 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
midjourney-v7,vllm,RUNS_ON,Midjourney V7 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
dbrx,vllm,RUNS_ON,DBRX can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-2,vllm,RUNS_ON,GPT-5.2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-sonnet-4-6,vllm,RUNS_ON,Claude Sonnet 4.6 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
nano-banana-2-lite,vllm,RUNS_ON,Nano Banana 2 Lite can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
muse-spark,vllm,RUNS_ON,Muse Spark can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
deepseek-r1,vllm,RUNS_ON,vLLM officially lists DeepSeek-R1 under its supported DeepSeek V3 architecture.,confirmed,https://github.com/vllm-project/vllm/blob/main/docs/models/supported_models.md,2025,
robostral-navigate,vllm,RUNS_ON,Robostral Navigate can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
runway-gen-4,vllm,RUNS_ON,Runway Gen-4 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
cerebras-gpt,vllm,RUNS_ON,Cerebras-GPT can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-1,vllm,RUNS_ON,GPT-5.1 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-sonnet-4-5,vllm,RUNS_ON,Claude Sonnet 4.5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
nano-banana-pro,vllm,RUNS_ON,Nano Banana Pro can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
grok-4-5,vllm,RUNS_ON,Grok 4.5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
qwen3-max,vllm,RUNS_ON,Qwen3-Max can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
shieldstral,vllm,RUNS_ON,Shieldstral can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
luma-ray,vllm,RUNS_ON,Luma Ray can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
command-r-open,vllm,RUNS_ON,Command R Open can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5,vllm,RUNS_ON,GPT-5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
claude-haiku-4-5,vllm,RUNS_ON,Claude Haiku 4.5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-omni-flash,vllm,RUNS_ON,Gemini Omni Flash can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
grok-imagine,vllm,RUNS_ON,Grok Imagine can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
qwen3,vllm,RUNS_ON,vLLM officially supports Qwen3 dense and mixture-of-experts model architectures.,confirmed,https://github.com/vllm-project/vllm/blob/main/docs/models/supported_models.md,2025,
voxtral,vllm,RUNS_ON,Voxtral can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
pika-2-2,vllm,RUNS_ON,Pika 2.2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
esm3,vllm,RUNS_ON,ESM3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-mini,vllm,RUNS_ON,GPT-5 mini can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
veo-3-1,vllm,RUNS_ON,Veo 3.1 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
grok-voice,vllm,RUNS_ON,Grok Voice can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
qwen-coder,vllm,RUNS_ON,Qwen Coder can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
codestral,vllm,RUNS_ON,Codestral can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
ideogram-3-0,vllm,RUNS_ON,Ideogram 3.0 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
evo-2,vllm,RUNS_ON,Evo 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-5-nano,vllm,RUNS_ON,GPT-5 nano can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
lyria-3-pro,vllm,RUNS_ON,Lyria 3 Pro can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
qwen-vl,vllm,RUNS_ON,"vLLM officially supports Qwen vision-language architectures including Qwen2-VL, Qwen2.5-VL and Qwen3-VL.",confirmed,https://github.com/vllm-project/vllm/blob/main/docs/models/supported_models.md,2024,
cohere-command-a,vllm,RUNS_ON,Cohere Command A+ can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
eleven-v3,vllm,RUNS_ON,Eleven v3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
progen3,vllm,RUNS_ON,ProGen3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
o3,vllm,RUNS_ON,o3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-embedding-2,vllm,RUNS_ON,Gemini Embedding 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
glm-5-3,vllm,RUNS_ON,GLM-5.3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
north-mini-code,vllm,RUNS_ON,North Mini Code can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
suno-v5,vllm,RUNS_ON,Suno v5 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
bionemo,vllm,RUNS_ON,BioNeMo can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
o4-mini,vllm,RUNS_ON,o4-mini can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-robotics-er-2,vllm,RUNS_ON,Gemini Robotics-ER 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
glm-5-2,vllm,RUNS_ON,The official vLLM Ascend support matrix lists GLM-5.2 for Ascend A2 and A3 hardware.,confirmed,https://github.com/vllm-project/vllm-ascend/blob/main/docs/source/user_guide/support_matrix/supported_models.md,2026,
cohere-embed,vllm,RUNS_ON,Cohere Embed can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
udio-2,vllm,RUNS_ON,Udio 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
sora-2,vllm,RUNS_ON,Sora 2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gemini-robotics-er-1-6,vllm,RUNS_ON,Gemini Robotics-ER 1.6 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
doubao-model,vllm,RUNS_ON,Doubao Model can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
aleph-alpha-luminous,vllm,RUNS_ON,Aleph Alpha Luminous can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-image-2,vllm,RUNS_ON,GPT-Image-2 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
alphafold-3,vllm,RUNS_ON,AlphaFold 3 can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
hunyuan,vllm,RUNS_ON,Hunyuan can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
ai21-jamba,vllm,RUNS_ON,AI21 Jamba can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
gpt-oss-120b,vllm,RUNS_ON,gpt-oss-120b can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
ernie,vllm,RUNS_ON,ERNIE can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
mimo-v2-5-pro,vllm,RUNS_ON,MiMo-V2.5 Pro can be served by a concrete inference runtime such as vLLM; deployment support varies by model and installation.,representative,,,
minimax-m3,vllm,RUNS_ON,"vLLM tracks MiniMax-M3 reasoning-parser behavior, demonstrating active runtime support while documenting a current output-parsing limitation.",reported,https://github.com/vllm-project/vllm/issues/46049,2026,
tsmc,cowos,DEVELOPS,CoWoS is a TSMC-developed advanced packaging technology service.,representative,https://investor.tsmc.com/english/annual-reports,,
asml,photoresists,EXPOSES,ASML lithography systems pattern silicon wafers that have been treated with photoresist.,representative,https://www.asml.com/en/news/stories/2022/busting-asml-myths,,
photoresists,silicon,APPLIED_TO,Photoresists are applied to silicon wafers during chip fabrication.,representative,https://www.asml.com/en/news/stories/2022/busting-asml-myths,,
huawei,huawei-ascend,DEVELOPS,"Huawei develops the Ascend AI-computing stack, spanning processors, systems and software.",confirmed,https://www-file.huawei.com/-/media/CORP2020/annual-report/2020-pdf/annual_report_2020_en.pdf,,
huawei,mindspore,DEVELOPS,Huawei identifies MindSpore as the framework layer of its full-stack Ascend ecosystem.,confirmed,https://www-file.huawei.com/-/media/CORP2020/annual-report/2020-pdf/annual_report_2020_en.pdf,,
mindspore,huawei-ascend,RUNS_ON,MindSpore and Ascend are co-optimized parts of Huawei’s AI computing stack.,confirmed,https://www-file.huawei.com/-/media/CORPORATE/Local-site/mx/pdf/2019_Huawei_Annual_Report.pdf,,
huawei,cann,DEVELOPS,"Huawei develops CANN as the compiler, operator-library and runtime layer for Ascend AI processors.",confirmed,https://www.huawei.com/en/news/2025/9/hc-xu-keynote-speech,2018,
cann,huawei-ascend,RUNS_ON,CANN is the foundational software platform required to compile and execute AI workloads on Ascend hardware.,confirmed,https://github.com/vllm-project/vllm-ascend/blob/main/docs/source/installation.md,2018,
vllm,cann,DEPENDS_ON,The official vLLM Ascend compatibility stack requires CANN alongside TorchNPU and supported Ascend hardware.,confirmed,https://github.com/vllm-project/vllm-ascend/blob/main/docs/source/installation.md,2025,
pytorch,cann,INTEGRATES_WITH,Ascend deployments pair PyTorch with TorchNPU and CANN as one versioned compatibility stack.,confirmed,https://github.com/vllm-project/vllm-ascend/blob/main/docs/source/installation.md,2019,
deepseek,huawei-ascend,RUNS_ON,Huawei states that its teams optimized Ascend 910B and 910C inference for DeepSeek workloads during 2025.,confirmed,https://www.huawei.com/en/news/2025/9/hc-xu-keynote-speech,2025,
deepseek,huawei-cloud,DEPLOYED_BY,Huawei Cloud documents deployment architectures for DeepSeek inference and states that it supported the model’s fast-growing traffic.,confirmed,https://support.huaweicloud.com/intl/en-us/deepseek-aislt/aislt-deepseek.pdf,2025,
cambricon,smic,DEPENDS_ON,Cambricon is fabless and therefore depends on external semiconductor manufacturing; this edge represents the domestic foundry path rather than a disclosed customer contract.,representative,https://forum.cambricon.com/index.php?a=show&c=index&catid=159&id=904&m=content,,
cambricon,deepseek,INTEGRATES_WITH,Cambricon documents model adaptation across its MLU hardware and software stack.,confirmed,https://developer.cambricon.com/index/article/index.html,,
baidu-ai-cloud,baidu-kunlun,DEVELOPS,Baidu describes Kunlun chips as the hardware foundation of its AI stack.,confirmed,https://ir.baidu.com/static-files/6053f234-9dbd-4afb-b300-7fcba9cb6f27,,
baidu-ai-cloud,paddlepaddle,DEVELOPS,Baidu describes PaddlePaddle as the software foundation of its AI stack.,confirmed,https://ir.baidu.com/static-files/6053f234-9dbd-4afb-b300-7fcba9cb6f27,,
paddlepaddle,baidu-kunlun,RUNS_ON,PaddlePaddle and Kunlun form Baidu’s paired software and hardware foundation.,confirmed,https://ir.baidu.com/static-files/6053f234-9dbd-4afb-b300-7fcba9cb6f27,,
alibaba-cloud,modelscope,DEVELOPS,Alibaba Cloud launched and operates the ModelScope open-source model community.,confirmed,https://www.alibabacloud.com/blog/601320,,
modelscope,qwen,INTEGRATES_WITH,"ModelScope distributes Qwen models for download, fine-tuning, evaluation and deployment.",confirmed,https://www.alibabacloud.com/help/en/pai/use-cases/secure-encryption-inference-service,,
tencent-cloud,tencent-zixiao,DEVELOPS,Tencent’s cloud ecosystem includes its internally developed Zixiao accelerator.,reported,https://www.tencent.com/en-us/articles/2201344.html,,
doubao,doubao-model,USES_MODEL_FROM,Doubao is ByteDance’s assistant product built around the distinct Doubao model family.,confirmed,https://www.doubao.com/legal/feature_intro,,
kimi-app,moonshot-ai,USES_MODEL_FROM,Kimi is Moonshot AI’s user-facing assistant and research product.,confirmed,https://www.kimi.com/,2023,
tencent-yuanbao,tencent-hunyuan,USES_MODEL_FROM,Tencent Yuanbao is a user-facing assistant powered by Tencent’s model ecosystem.,confirmed,https://yuanbao.tencent.com/,,
ernie-bot,baidu-ernie,USES_MODEL_FROM,Baidu states that ERNIE Bot is powered by its in-house ERNIE foundation model.,confirmed,https://ir.baidu.com/static-files/6053f234-9dbd-4afb-b300-7fcba9cb6f27,,
deepseek-app,deepseek,USES_MODEL_FROM,DeepSeek’s official application exposes its model family to end users.,confirmed,https://www.deepseek.com/,2025,
qwen-agent,qwen,USES_MODEL_FROM,Qwen-Agent is Alibaba’s open-source framework for building tool-using applications with Qwen models.,confirmed,https://github.com/QwenLM/Qwen-Agent,2023,
qianfan-agent,baidu-ernie,USES_MODEL_FROM,Qianfan AgentBuilder provides an enterprise application layer for Baidu’s model ecosystem.,confirmed,https://cloud.baidu.com/product/qianfan.html,,
shanghai-ai-laboratory,lmdeploy,DEVELOPS,Shanghai AI Laboratory develops LMDeploy as the efficient inference and deployment engine in the Intern model toolchain.,confirmed,https://www.shlab.org.cn/intern-ai,2023,
shanghai-ai-laboratory,xtuner,DEVELOPS,Shanghai AI Laboratory develops XTuner as the training and fine-tuning engine in the Intern model toolchain.,confirmed,https://www.shlab.org.cn/intern-ai,2023,
shanghai-ai-laboratory,opencompass,DEVELOPS,"Shanghai AI Laboratory develops OpenCompass as the evaluation layer spanning models, compute systems, embodied AI and safety.",confirmed,https://www.shlab.org.cn/intern-ai,2023,
xtuner,pytorch,DEPENDS_ON,XTuner’s current training engine is built on PyTorch FSDP for distributed model training and fine-tuning.,confirmed,https://www.shlab.org.cn/intern-ai,,
lmdeploy,cuda,RUNS_ON,LMDeploy documents CUDA GPU deployment as a supported high-performance inference backend.,confirmed,https://github.com/InternLM/lmdeploy,,
sglang,cuda,RUNS_ON,SGLang provides a production serving backend for large language and multimodal models on CUDA GPUs.,confirmed,https://github.com/sgl-project/sglang,,
apollo-go,baidu-ai-cloud,DEPENDS_ON,Apollo Go is a concrete downstream autonomous-mobility product in Baidu’s AI ecosystem.,confirmed,https://www.apollo.auto/apollo-go,,
coze,bytedance-seed,INTEGRATES_WITH,Coze is ByteDance’s agent-development platform and integrates models from its ecosystem.,confirmed,https://www.coze.com/,,
huate-gas,smic,SUPPLIES,Huate Gas identifies SMIC among the integrated-circuit manufacturers supplied with specialty electronic gases.,confirmed,https://huategas.com/en/BusinessProfile/index.aspx,,
huate-gas,hua-hong-semiconductor,SUPPLIES,Huate Gas identifies Hua Hong among the integrated-circuit manufacturers supplied with specialty electronic gases.,confirmed,https://huategas.com/en/BusinessProfile/index.aspx,,
huate-gas,ymtc,SUPPLIES,Huate Gas identifies Yangtze Memory among customers whose specialty-gas import constraints it has addressed.,confirmed,https://www.huategas.com/BusinessProfile/index.aspx,,
huate-gas,cxmt,SUPPLIES,Huate Gas identifies CXMT among customers whose specialty-gas import constraints it has addressed.,confirmed,https://www.huategas.com/BusinessProfile/index.aspx,,
hwatsing,smic,PROVIDES_EQUIPMENT_TO,Hwatsing documents delivery of China’s first domestically produced 12-inch CMP system to SMIC.,confirmed,https://hwatsing.com/news_detail/294.html,,
naura-technology,smic,PROVIDES_EQUIPMENT_TO,"NAURA reports that its etch, deposition, furnace and cleaning systems run in mainstream Chinese logic production; SMIC is shown as a representative domestic logic-fab path, not a disclosed system-level contract.",representative,https://www.naura.com/content/details_30_2081.html,,
naura-technology,hua-hong-semiconductor,PROVIDES_EQUIPMENT_TO,NAURA equipment is in volume production at mainstream Chinese integrated-circuit fabs; this edge represents its role in domestic specialty and logic fabrication.,representative,https://www.naura.com/content/details_30_2081.html,,
naura-technology,ymtc,PROVIDES_EQUIPMENT_TO,NAURA states that its systems support 3D NAND and are deployed in mainstream chip-production lines; YMTC is a representative domestic NAND manufacturing path.,representative,https://www.naura.com/content/details_30_2081.html,,
naura-technology,cxmt,PROVIDES_EQUIPMENT_TO,NAURA states that its systems support DRAM and are deployed in mainstream chip-production lines; CXMT is a representative domestic DRAM manufacturing path.,representative,https://www.naura.com/content/details_30_2081.html,,
